,PlayerID,GP,PTS,AST,REB,STL,BLK,TOV,FT_PCT,FG_PCT,FG3_PCT,FTA
211,201588,16,147,49,51,12,2,11,0.786,0.51,0.479,28.0
212,203524,13,69,20,38,10,1,10,0.643,0.421,0.364,14.0
213,1629658,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0
214,1628988,13,130,51,39,13,1,20,0.9,0.397,0.412,10.0
215,201950,15,280,105,77,31,11,51,0.773,0.43,0.321,44.0
216,203200,15,117,27,59,12,10,9,0.81,0.382,0.333,21.0
217,1626178,8,72,12,49,8,3,11,0.7,0.58,0.0,20.0
218,1626158,15,175,12,125,11,23,16,0.794,0.661,0.0,34.0
219,203918,15,171,19,54,14,4,17,0.762,0.512,0.49,21.0
220,201143,15,221,61,106,16,13,18,0.645,0.459,0.328,31.0
222,1627863,13,150,14,59,16,10,12,0.815,0.457,0.438,27.0
223,2730,16,114,15,122,6,25,19,0.558,0.75,0.0,43.0
224,1628989,10,93,28,35,6,3,17,0.8,0.427,0.386,15.0
225,1629631,16,200,29,66,11,4,25,0.744,0.419,0.386,39.0
226,1628990,7,58,8,30,4,2,10,0.692,0.429,0.364,26.0
227,201586,8,112,6,52,5,10,17,0.826,0.524,0.313,23.0
229,101141,14,80,8,67,6,5,5,0.889,0.412,0.216,18.0
230,204060,16,102,56,71,10,2,25,0.778,0.33,0.29,18.0
231,1627742,13,339,55,93,11,12,40,0.775,0.506,0.459,71.0
232,202681,11,314,79,59,12,6,26,0.937,0.444,0.341,63.0
233,1628371,13,174,22,94,19,36,19,0.839,0.5,0.367,31.0
234,1628411,7,19,5,15,3,1,3,0.786,0.222,0.0,14.0
235,1628402,16,139,19,26,8,1,17,0.8,0.387,0.322,30.0
237,1628382,15,98,6,36,2,2,4,0.818,0.48,0.447,11.0
238,202704,2,10,8,5,0,0,1,1.0,0.364,0.2,1.0
239,1628991,14,202,16,71,8,13,27,0.794,0.469,0.397,34.0
240,1629713,6,28,5,6,2,2,2,0.167,0.462,0.333,6.0
241,2544,16,403,173,122,21,9,56,0.708,0.489,0.333,89.0
242,1628518,2,6,2,3,0,0,1,0.0,1.0,0.0,0.0
243,1629610,2,2,1,1,0,0,0,0.0,1.0,0.0,0.0
245,1628993,5,13,2,12,0,0,1,0.75,0.556,0.0,4.0
247,1629661,14,123,10,38,8,4,9,0.933,0.418,0.409,15.0
248,201949,5,20,4,10,3,2,3,0.5,0.444,0.222,4.0
249,1629640,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
250,1626169,5,7,0,7,1,0,4,0.0,0.333,0.25,0.0
251,204020,16,107,37,30,5,6,17,0.778,0.388,0.347,18.0
252,203999,15,250,91,146,19,8,38,0.78,0.465,0.242,41.0
253,1627745,15,100,12,52,9,13,10,0.762,0.683,0.5,21.0
254,1626145,15,98,77,20,15,0,21,0.684,0.388,0.179,19.0
255,1627884,4,28,2,8,3,0,2,1.0,0.6,0.25,3.0
256,201599,15,113,31,137,6,17,15,0.636,0.667,0.0,33.0
257,202709,15,86,55,37,9,9,19,1.0,0.368,0.174,12.0
258,1629662,4,13,0,3,0,1,0,1.0,0.667,0.6,2.0
259,1626163,16,169,34,88,4,6,20,0.709,0.412,0.3,55.0
260,202683,8,55,7,45,4,4,7,0.619,0.6,0.0,21.0
261,1628379,16,261,71,59,8,2,25,0.887,0.424,0.37,53.0
262,1629742,4,0,1,3,0,0,2,0.0,0.0,0.0,0.0
263,203077,2,7,1,6,0,0,1,1.0,0.2,0.333,2.0
265,1628467,15,128,17,86,4,12,11,0.889,0.431,0.369,18.0
266,202688,6,33,12,7,2,0,6,0.5,0.344,0.346,4.0
267,1628995,17,137,26,52,10,4,12,0.65,0.386,0.383,40.0
268,1629723,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
269,1627788,15,142,12,33,4,5,11,0.8,0.443,0.389,15.0
270,1628436,10,40,6,19,1,7,3,1.0,0.349,0.217,5.0
271,2594,13,85,3,20,5,4,11,0.75,0.389,0.39,8.0
272,1629066,9,21,1,22,4,0,11,0.333,0.4,0.6,6.0
273,1628398,12,146,7,44,2,5,20,0.739,0.462,0.339,23.0
274,203897,17,361,64,70,20,7,57,0.818,0.429,0.402,66.0
275,1627746,17,109,20,81,4,19,20,0.65,0.566,0.333,20.0
276,203087,6,99,12,37,8,5,8,0.875,0.456,0.25,24.0
277,1629641,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
278,1627774,14,147,11,41,12,10,18,0.6,0.462,0.352,10.0
279,1627747,9,151,36,45,6,1,31,0.645,0.421,0.361,31.0
280,1628388,13,60,6,55,6,3,6,0.625,0.455,0.5,8.0
282,201584,5,24,3,2,0,2,0,0.0,0.588,0.571,0.0
283,1627814,11,110,20,43,8,0,13,0.848,0.385,0.343,33.0
284,203458,16,98,15,72,4,16,17,0.647,0.434,0.16,34.0
285,202695,12,308,66,96,25,11,45,0.826,0.435,0.3,86.0
286,203086,15,98,13,64,5,7,14,0.571,0.606,0.56,7.0
287,203081,15,424,108,77,16,9,44,0.923,0.445,0.362,117.0
288,1629642,10,55,4,43,5,4,5,0.625,0.4,0.25,16.0
289,1626172,1,3,1,9,0,0,1,0.0,0.25,1.0,0.0
290,201572,16,179,23,77,12,40,18,0.917,0.427,0.3,36.0
291,201577,16,72,8,41,3,8,20,0.538,0.475,0.269,13.0
292,201567,14,251,38,165,11,6,42,0.89,0.446,0.357,82.0
293,200768,8,174,52,34,9,3,27,0.881,0.478,0.426,42.0
294,1627789,1,1,0,0,0,0,0,0.5,0.0,0.0,2.0
