,PlayerID,GP,PTS,AST,REB,STL,BLK,TOV,FT_PCT,FG_PCT,FG3_PCT,FTA,FGA,FG3A,MIN,PLUS_MINUS
0,201166,69,7.1,2.6,1.5,0.4,0.1,1.2,0.766,0.401,0.357,0.9,6.8,2.7,16.1,-0.2
1,203932,78,9.2,1.6,6.5,0.8,0.7,0.8,0.668,0.473,0.296,2.5,7.4,1.8,23.9,-1.0
2,1626151,21,0.9,0.1,0.7,0.3,0.0,0.2,0.417,0.263,0.3,0.6,0.9,0.5,4.4,-0.3
3,203940,52,2.5,0.6,2.1,0.3,0.2,0.7,0.654,0.366,0.281,0.5,2.8,0.6,9.3,-2.3
4,201143,82,15.2,3.2,7.3,0.8,1.5,1.3,0.798,0.505,0.344,1.6,12.8,3.1,32.1,2.8
5,2744,47,12.0,1.5,6.4,0.6,0.9,0.7,0.649,0.485,0.0,2.4,10.7,0.0,23.3,1.0
6,202329,82,10.2,1.7,6.1,0.9,0.6,1.5,0.737,0.416,0.361,1.9,8.8,4.3,28.5,0.7
7,101187,13,5.0,1.1,2.1,0.3,0.1,0.2,0.733,0.356,0.324,1.2,4.5,2.8,14.8,2.3
8,1626210,10,2.9,0.5,3.8,0.4,0.5,0.6,0.643,0.417,0.0,1.4,2.4,0.0,6.8,0.1
9,202692,31,13.3,2.0,3.5,0.6,0.1,1.6,0.752,0.41,0.405,4.5,10.8,2.5,25.7,-0.4
10,203458,78,9.0,1.2,7.6,0.5,0.8,1.9,0.728,0.423,0.143,3.1,8.0,0.1,23.3,-3.7
11,1627293,8,2.8,0.3,3.5,0.1,0.6,0.0,0.333,0.333,0.0,1.5,3.4,0.0,9.0,-0.3
12,201582,59,6.0,0.5,4.6,0.3,0.6,0.9,0.839,0.476,0.0,1.1,5.3,0.0,14.6,-1.1
13,203459,81,10.3,1.2,2.7,0.8,0.2,0.8,0.867,0.459,0.393,1.4,8.4,3.5,26.0,0.5
14,202087,73,4.5,1.0,3.4,0.9,0.2,0.8,0.667,0.518,0.283,0.9,3.5,0.8,22.4,-2.7
15,2405,52,5.8,0.5,4.3,0.3,0.8,0.9,0.746,0.566,0.0,1.3,4.3,0.0,14.7,0.2
16,101161,79,7.3,1.7,6.4,0.7,1.1,1.2,0.57,0.585,0.233,1.5,5.4,0.5,22.8,1.7
17,2760,53,2.6,0.7,2.7,0.3,0.2,0.4,0.64,0.427,0.0,0.9,2.3,0.0,9.4,0.4
18,203083,81,16.2,0.8,14.8,1.5,1.4,1.9,0.355,0.521,0.333,7.2,13.1,0.1,32.9,1.6
19,2738,65,7.0,3.4,4.0,1.1,0.3,1.2,0.614,0.478,0.351,1.3,5.7,2.4,26.6,7.0
20,1889,39,3.7,2.2,1.3,0.4,0.0,0.9,0.75,0.557,0.25,0.8,2.7,0.2,11.8,0.8
21,203460,70,4.8,0.7,3.6,0.8,0.6,0.5,0.611,0.496,0.311,0.8,3.9,1.5,22.2,3.7
22,200745,46,6.6,0.4,2.1,0.1,0.2,0.6,0.825,0.455,0.188,1.2,6.1,0.3,13.8,-4.2
23,101106,70,5.4,2.3,7.0,0.5,1.6,1.2,0.48,0.627,1.0,0.7,4.0,0.0,20.7,5.7
24,202726,8,2.8,0.5,0.3,0.8,0.3,0.9,0.75,0.45,0.111,0.5,2.5,1.1,6.2,1.3
25,203094,56,6.9,0.4,3.6,0.2,0.4,0.7,0.785,0.471,0.36,1.2,5.5,2.0,14.7,0.6
26,203952,81,20.7,2.0,3.6,1.0,0.6,2.2,0.761,0.459,0.3,7.0,16.0,2.3,35.1,-0.8
27,203461,19,1.5,0.0,1.2,0.3,0.0,0.2,0.9,0.296,0.214,0.5,1.4,0.7,4.4,-1.6
28,1626148,29,4.0,0.7,2.4,0.5,0.2,0.5,0.85,0.31,0.286,0.7,4.3,2.4,20.6,-1.2
29,203076,61,24.3,1.9,10.3,1.3,2.0,2.0,0.758,0.493,0.324,7.0,18.6,1.8,35.5,-3.3
30,201627,68,5.6,0.4,0.9,0.3,0.1,0.3,0.744,0.408,0.387,0.6,4.9,3.0,13.6,1.6
31,201229,72,5.3,0.7,3.2,0.4,0.2,0.4,0.617,0.386,0.36,0.7,4.6,3.8,18.6,0.1
32,203462,57,8.9,2.1,2.5,0.5,0.2,1.8,0.674,0.417,0.232,3.4,7.4,1.7,19.5,-3.7
33,203382,81,6.3,0.6,4.7,0.3,0.6,0.8,0.764,0.505,0.0,2.0,4.7,0.0,15.2,-0.7
34,201167,71,12.8,2.0,3.7,0.4,0.1,1.2,0.84,0.443,0.382,1.8,11.3,3.4,33.4,-2.1
35,203085,67,8.9,1.5,1.9,0.7,0.1,0.9,0.681,0.438,0.335,1.7,7.7,2.8,21.8,-2.4
36,202340,76,15.2,2.1,2.9,1.5,0.3,1.4,0.78,0.447,0.361,1.6,13.4,5.4,33.4,2.8
37,1626253,21,3.6,0.7,1.5,0.3,0.3,0.3,0.765,0.357,0.325,0.8,3.3,1.9,14.5,-0.8
38,203463,68,7.8,1.2,2.2,0.8,0.1,1.5,0.718,0.429,0.362,1.5,6.7,2.7,21.2,0.3
39,2757,44,4.7,2.6,1.6,0.3,0.0,1.2,0.9,0.434,0.341,0.5,4.5,1.0,16.1,-0.5
40,202687,82,5.5,0.4,8.0,0.2,1.6,0.9,0.628,0.542,0.0,2.8,3.5,0.0,22.0,1.0
41,201933,35,21.4,4.9,8.4,0.8,0.5,2.4,0.727,0.499,0.333,5.5,17.2,0.5,33.4,5.1
42,1626246,54,5.5,0.4,3.6,0.2,0.4,0.5,0.763,0.603,0.0,2.1,3.2,0.0,9.4,1.0
43,1626171,62,7.0,0.8,5.4,0.4,0.4,0.9,0.727,0.427,0.308,1.1,7.0,0.8,17.8,-2.9
44,202711,79,11.2,1.3,3.2,0.4,0.1,1.5,0.833,0.433,0.382,1.7,9.5,4.3,26.8,-4.9
45,2564,76,6.4,2.3,3.1,0.3,0.3,1.3,0.737,0.527,0.362,1.0,5.0,0.9,18.2,3.8
46,203078,55,17.4,2.9,3.4,1.0,0.2,2.0,0.767,0.449,0.387,3.2,14.5,4.9,31.1,-0.4
