,PlayerID,GP,PTS,AST,REB,STL,BLK,TOV,FT_PCT,FG_PCT,FG3_PCT,FTA,FGA,FG3A,MIN,PLUS_MINUS
0,201166,32,2.3,0.6,0.5,0.2,0.0,0.3,0.727,0.406,0.355,0.3,2.2,1.0,5.9,-2.3
1,203932,58,17.6,2.3,7.9,1.0,0.8,1.8,0.698,0.434,0.336,3.9,14.9,5.9,32.9,-1.6
2,1626151,9,6.7,1.2,2.7,1.0,0.2,0.3,0.765,0.275,0.209,1.9,7.7,4.8,25.9,-8.0
3,1628935,1,8.0,1.0,3.0,0.0,0.0,1.0,0.5,0.333,0.25,2.0,9.0,4.0,34.5,-10.0
4,1627846,48,3.0,0.5,1.5,0.3,0.2,0.7,0.59,0.336,0.354,0.8,3.1,1.4,10.9,-2.3
5,203940,5,4.2,0.0,1.8,0.4,0.0,0.4,0.833,0.7,0.667,1.2,2.0,0.6,8.5,-2.6
6,201143,72,12.9,4.7,7.4,0.6,1.1,1.8,0.783,0.489,0.429,1.7,10.5,3.1,31.6,4.8
7,2744,36,7.0,0.8,4.0,0.4,0.6,0.6,0.833,0.534,0.0,1.0,5.8,0.1,13.4,-0.3
8,202329,69,9.3,1.2,7.6,1.1,0.6,1.1,0.738,0.395,0.369,1.2,8.4,4.9,30.0,3.2
9,1626210,5,4.0,1.6,4.4,1.0,0.2,1.4,0.667,0.389,0.0,1.8,3.6,0.0,14.1,0.2
10,202692,64,7.7,1.0,3.0,0.6,0.1,0.9,0.863,0.411,0.331,1.9,6.5,2.2,16.5,-0.2
11,1628409,20,4.1,0.6,1.9,0.1,0.1,0.2,0.8,0.378,0.31,0.5,3.7,2.9,11.2,1.8
12,203518,75,4.7,0.4,1.5,0.5,0.1,0.3,0.848,0.395,0.38,0.6,3.9,2.9,15.1,0.6
13,1627936,37,3.6,2.0,1.8,0.6,0.3,1.1,0.7,0.431,0.302,0.8,3.1,1.2,15.2,-0.1
