,PlayerID,GP,PTS,AST,REB,STL,BLK,TOV,FT_PCT,FG_PCT,FG3_PCT,FTA,FGA,FG3A,MIN,PLUS_MINUS
0,1627773,22,2.2,0.2,1.6,0.0,0.6,0.5,0.45,0.405,0.5,0.9,1.9,0.5,7.4,-0.2
1,201166,65,5.0,1.9,1.1,0.4,0.1,1.0,0.8,0.403,0.375,0.6,4.6,2.0,13.7,-0.5
2,203932,80,12.7,1.9,5.1,0.8,0.5,1.1,0.719,0.454,0.288,2.7,10.8,3.3,28.7,-2.0
3,1626151,5,0.2,0.6,0.6,0.0,0.0,0.0,0.5,0.0,0.0,0.4,0.8,0.4,3.3,-1.0
4,203940,18,3.5,0.4,1.8,0.4,0.4,0.4,0.737,0.426,0.2,1.1,3.0,0.8,7.5,0.4
5,201143,68,14.0,5.0,6.8,0.8,1.3,1.7,0.8,0.473,0.355,2.0,11.8,3.6,32.3,3.2
6,2744,66,8.1,0.9,4.2,0.3,0.2,0.5,0.765,0.499,0.0,1.3,7.1,0.0,14.1,-1.5
7,202329,61,8.7,1.6,7.4,1.0,0.7,1.5,0.706,0.393,0.33,2.2,7.6,3.5,29.1,0.4
8,101187,30,2.9,0.4,0.8,0.1,0.0,0.2,0.75,0.375,0.318,0.5,2.7,1.5,10.3,-2.6
9,1626210,47,7.4,0.5,6.2,0.6,0.7,0.8,0.625,0.517,0.0,2.4,5.7,0.0,15.1,0.0
10,202692,42,6.7,0.7,2.9,0.4,0.1,0.8,0.769,0.399,0.329,1.9,5.9,1.8,15.5,0.0
11,203518,68,6.0,0.6,1.3,0.5,0.1,0.5,0.898,0.393,0.381,0.7,5.0,3.6,15.5,0.0
12,203458,77,8.0,0.6,6.6,0.5,1.3,1.3,0.721,0.497,0.25,2.7,6.0,0.2,20.3,-5.2
13,1627816,6,10.7,0.8,4.8,0.5,0.3,0.5,0.8,0.463,0.316,1.7,9.0,3.2,26.1,-6.0
14,201582,39,5.3,0.3,4.5,0.5,0.6,0.8,0.725,0.5,0.0,1.0,4.6,0.1,15.0,-1.5
15,203459,79,10.7,1.2,2.9,0.7,0.3,0.8,0.847,0.468,0.444,1.6,8.2,3.8,28.5,-1.5
16,202087,13,0.8,0.5,1.2,0.4,0.1,0.3,0.556,0.214,0.0,0.7,1.1,0.2,6.9,-1.4
17,101161,80,6.5,1.8,4.6,0.6,0.8,1.0,0.67,0.576,0.409,1.3,4.6,0.8,20.1,2.6
18,2760,14,1.3,0.7,1.9,0.2,0.2,0.6,0.727,0.357,0.0,0.8,1.0,0.0,6.6,-2.1
19,203083,81,13.6,1.1,13.8,1.5,1.1,1.9,0.386,0.53,0.286,4.4,11.2,0.1,29.7,-3.4
20,2738,76,7.6,3.4,4.0,1.0,0.5,0.8,0.706,0.528,0.362,1.3,5.5,2.3,26.3,6.9
21,203460,79,6.6,1.0,5.1,1.2,1.0,0.6,0.423,0.464,0.245,1.4,5.9,2.3,30.1,1.8
22,101106,27,2.9,1.8,8.1,0.5,0.9,1.6,0.273,0.469,0.0,0.4,3.0,0.0,21.6,-1.3
23,1626150,72,5.9,2.8,1.9,0.7,0.3,1.2,0.763,0.325,0.276,2.7,5.0,2.2,20.5,-0.4
24,203094,38,2.6,0.3,1.6,0.4,0.2,0.4,0.643,0.387,0.185,0.4,2.9,0.7,9.0,-3.4
25,203952,82,23.6,2.3,4.0,1.0,0.4,2.3,0.76,0.452,0.356,6.6,19.1,3.5,37.2,-0.2
26,203461,23,5.0,0.5,3.4,0.2,0.1,0.5,0.722,0.413,0.271,1.6,4.0,2.1,11.5,-3.0
27,1626148,11,3.9,0.7,3.0,0.5,0.1,0.5,0.0,0.36,0.259,0.0,4.5,2.5,14.5,0.4
28,203076,75,28.0,2.1,11.8,1.3,2.2,2.4,0.802,0.505,0.299,8.6,20.3,1.8,36.1,0.7
29,201627,49,5.5,0.5,0.6,0.5,0.0,0.1,0.919,0.389,0.308,0.8,5.1,2.7,14.6,0.4
30,201229,65,7.1,1.2,3.6,0.5,0.3,0.9,0.744,0.442,0.391,1.3,5.4,3.5,22.7,-1.5
31,203462,15,7.3,1.6,1.9,0.3,0.3,0.9,0.786,0.545,0.333,2.8,4.4,1.0,14.3,-2.4
32,202620,8,0.5,0.3,0.8,0.0,0.1,0.3,0.0,0.5,0.0,0.0,0.5,0.0,3.5,-1.9
33,203382,75,4.9,0.4,4.4,0.2,0.5,0.7,0.84,0.513,0.0,1.3,3.7,0.0,15.5,1.8
34,201167,61,8.4,1.3,2.0,0.3,0.1,0.7,0.892,0.44,0.411,1.5,6.9,2.5,25.9,-4.0
35,203085,74,12.0,2.8,2.2,0.6,0.1,1.6,0.691,0.442,0.371,2.6,9.9,4.0,27.8,-0.1
36,202340,55,16.3,2.2,6.1,1.2,0.2,1.6,0.731,0.463,0.39,1.7,14.1,5.0,33.4,1.3
37,1626253,4,2.8,0.0,0.3,0.3,0.3,0.0,0.0,0.556,0.25,0.0,2.3,1.0,11.9,-2.8
38,1627791,3,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0,0.3,3.3,-4.0
39,203463,61,8.1,0.8,2.1,0.5,0.1,1.0,0.753,0.43,0.382,1.5,6.9,2.8,19.3,-2.2
40,2757,39,5.8,3.4,1.5,0.3,0.0,0.9,0.941,0.467,0.344,0.9,5.1,0.8,14.4,2.2
41,202687,81,6.0,0.9,7.0,0.3,1.1,1.2,0.534,0.528,0.0,2.9,4.2,0.0,22.1,-4.3
42,201933,61,21.6,4.9,8.1,0.9,0.4,2.3,0.76,0.493,0.336,6.9,15.9,1.9,34.0,7.2
43,1626246,35,5.5,0.3,3.7,0.2,0.3,0.3,0.81,0.545,0.0,1.7,3.8,0.0,8.4,0.9
44,201628,25,2.5,0.6,0.2,0.0,0.0,0.2,1.0,0.383,0.4,0.1,2.4,1.4,4.9,-1.4
45,1626171,64,6.8,0.5,4.6,0.3,0.2,0.6,0.661,0.488,0.333,0.9,5.9,1.5,15.6,-1.3
46,202711,81,13.7,1.4,3.4,0.4,0.1,1.6,0.893,0.445,0.367,3.0,10.4,4.8,25.7,-3.3
47,2564,73,4.6,2.3,2.2,0.2,0.1,1.2,0.743,0.446,0.247,0.5,4.5,1.1,17.6,0.3
48,203078,77,23.1,3.5,3.1,1.1,0.3,2.0,0.825,0.482,0.404,4.4,17.2,7.2,34.9,4.3
49,201148,28,6.8,0.5,2.8,0.4,0.7,0.4,0.657,0.615,0.0,1.3,4.8,0.0,16.0,1.3
50,101138,52,5.6,0.4,2.5,0.3,0.2,0.6,0.875,0.575,0.333,1.7,3.6,0.1,11.1,-2.8
51,1627742,79,9.4,2.1,4.0,0.6,0.5,1.5,0.621,0.402,0.294,2.7,8.7,2.4,28.9,-4.8
52,201943,81,7.1,4.9,2.4,0.9,0.0,1.6,0.75,0.359,0.313,1.9,6.6,3.1,22.2,-0.8
53,202688,54,11.0,2.4,2.2,0.5,0.1,1.6,0.857,0.398,0.324,2.9,9.7,2.6,21.1,-6.0
54,201575,47,4.2,1.0,2.1,0.5,0.5,0.6,0.722,0.374,0.386,0.4,4.0,2.4,21.9,-0.9
55,203148,41,3.5,1.3,1.0,0.2,0.0,0.6,0.846,0.377,0.386,1.0,3.0,1.1,10.2,-1.4
56,1627362,20,3.1,1.1,1.3,0.6,0.1,0.4,0.688,0.417,0.1,0.8,3.0,0.5,10.2,-2.5
57,1627744,3,1.3,0.3,1.0,0.7,0.3,0.3,0.0,0.286,0.0,0.0,2.3,0.0,3.1,2.3
58,201572,75,20.5,2.3,5.4,0.5,1.7,2.5,0.81,0.474,0.346,4.9,15.6,5.2,29.6,-2.1
59,203998,9,1.6,0.4,1.1,0.2,0.1,0.2,0.0,0.375,0.333,0.0,1.8,0.7,4.5,0.1
60,1627854,36,2.6,0.6,0.6,0.0,0.0,0.3,0.833,0.364,0.321,0.2,2.8,1.5,7.9,-1.4
61,1627741,82,10.6,1.5,3.3,0.5,0.1,1.2,0.842,0.426,0.391,0.9,9.4,4.6,23.0,-2.6
62,201228,62,4.5,1.8,1.4,0.7,0.0,0.8,0.864,0.387,0.305,1.1,4.0,1.7,16.3,-3.0
63,203912,22,1.0,0.5,0.5,0.1,0.0,0.3,1.0,0.258,0.2,0.1,1.4,0.7,4.9,-0.8
64,203468,80,23.0,3.6,3.6,0.9,0.5,2.2,0.912,0.48,0.421,3.7,18.0,5.5,34.9,0.8
65,101139,76,10.7,0.6,3.0,0.6,0.3,0.5,0.903,0.434,0.413,1.2,8.5,5.4,23.4,1.0
66,1626166,31,5.2,1.8,1.5,0.5,0.1,0.9,0.625,0.332,0.314,0.3,6.2,2.8,14.9,-2.2
67,1627747,57,8.2,1.9,3.3,0.9,0.1,1.0,0.72,0.45,0.321,1.6,6.7,3.2,21.7,-1.6
68,2546,74,22.4,2.9,5.9,0.8,0.5,2.1,0.833,0.433,0.359,4.9,18.8,5.7,34.3,-3.1
69,202718,34,6.2,1.6,2.5,0.6,0.1,0.7,0.814,0.338,0.269,1.3,6.5,2.7,19.8,-1.4
70,101112,74,9.1,0.6,3.9,0.4,0.5,0.7,0.851,0.458,0.409,1.0,7.0,4.5,18.9,0.8
71,1626184,26,5.3,1.3,1.2,0.3,0.1,0.7,0.953,0.408,0.34,1.7,3.8,1.8,11.5,-0.4
72,1627767,17,5.1,0.2,4.3,0.2,0.4,0.4,0.714,0.474,0.0,1.2,4.5,0.0,11.7,-3.1
73,1627778,5,2.8,0.6,2.0,0.6,0.2,0.8,1.0,0.714,0.0,0.8,1.4,0.0,10.3,-9.0
74,2365,12,2.3,0.4,2.6,0.4,0.6,0.4,0.714,0.409,0.0,1.2,1.8,0.3,9.5,0.7
75,1626191,16,2.3,0.1,1.2,0.1,0.1,0.2,0.6,0.5,0.143,0.3,2.0,0.4,5.0,3.1
76,101108,61,18.1,9.2,5.0,2.0,0.1,2.4,0.892,0.476,0.411,4.3,12.9,5.0,31.5,9.5
77,1626174,13,2.7,0.2,2.2,0.2,0.5,0.5,0.733,0.522,0.0,1.2,1.8,0.4,8.2,1.5
78,203991,65,12.6,1.0,8.1,0.5,1.2,1.3,0.531,0.643,0.0,2.7,8.7,0.0,23.9,3.3
79,203469,62,10.3,1.6,6.5,1.0,0.9,1.0,0.679,0.571,0.0,3.2,7.1,0.0,27.8,3.4
80,202332,62,1.7,0.4,2.5,0.4,0.4,0.3,0.682,0.523,0.0,0.4,1.4,0.0,8.6,-0.5
81,201147,82,4.5,1.2,2.0,0.7,0.2,0.7,0.735,0.422,0.229,0.8,4.2,1.4,15.6,0.9
82,202709,80,9.3,3.3,2.9,0.8,0.2,1.4,0.77,0.452,0.356,1.5,8.3,1.7,25.0,0.5
83,201584,77,10.8,2.3,3.4,1.1,0.3,0.9,0.867,0.456,0.401,1.3,9.1,3.5,31.9,-3.0
84,1626245,66,4.8,0.6,4.7,0.4,0.3,0.5,0.645,0.579,0.0,1.4,3.3,0.0,15.8,-0.5
85,1626156,63,15.6,4.8,3.5,1.4,0.3,2.8,0.782,0.405,0.352,3.0,13.8,6.1,28.7,-5.7
86,201571,78,7.9,2.7,1.5,0.4,0.0,1.2,0.814,0.377,0.347,2.1,6.6,3.5,19.7,-5.7
87,2563,1,9.0,1.0,2.0,0.0,0.0,1.0,0.75,0.375,0.0,4.0,8.0,2.0,12.0,2.0
88,1627745,10,1.9,0.0,2.3,0.1,0.4,0.6,0.3,0.5,0.0,1.0,1.6,0.0,8.5,-2.8
89,203081,75,27.0,5.9,4.9,0.9,0.3,2.6,0.895,0.444,0.37,7.3,19.8,7.7,35.9,1.1
90,204014,45,1.8,0.4,0.6,0.3,0.0,0.2,0.0,0.352,0.313,0.0,2.0,1.4,7.0,-1.7
91,1627849,19,1.3,0.2,1.2,0.1,0.0,0.2,0.0,0.444,0.0,0.1,1.4,0.0,3.9,-1.6
92,201568,63,18.2,2.1,5.2,0.6,0.2,1.3,0.902,0.447,0.389,6.1,11.9,5.1,33.9,2.5
93,201980,68,7.3,1.8,3.3,1.0,0.8,1.1,0.844,0.392,0.379,0.5,6.6,4.6,26.6,3.9
94,201967,66,6.6,0.6,4.2,0.6,0.4,0.4,0.593,0.485,0.392,0.4,5.4,2.7,25.0,-0.8
95,203957,66,6.2,1.7,2.0,0.3,0.2,1.2,0.795,0.427,0.295,1.1,5.5,2.3,18.6,0.0
96,1627863,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
97,203967,81,12.8,2.2,6.3,0.7,0.4,2.3,0.782,0.411,0.311,2.7,11.4,4.2,26.3,-3.8
98,201589,41,6.4,1.0,2.7,0.5,0.5,0.9,0.864,0.442,0.453,0.5,5.2,2.9,15.6,-0.6
99,201954,68,13.2,4.6,2.2,1.0,0.1,1.7,0.86,0.476,0.417,2.5,10.5,2.6,30.3,-1.9
100,1626199,39,3.3,0.8,0.8,0.3,0.1,0.7,0.75,0.373,0.261,0.7,3.2,1.2,9.8,0.3
101,101135,79,7.3,1.6,5.6,0.4,0.5,1.0,0.708,0.59,0.0,1.4,5.3,0.0,18.7,4.0
102,1628021,20,6.0,0.7,3.2,0.7,0.4,0.6,0.641,0.58,0.2,2.0,4.1,0.3,19.9,0.5
103,2561,68,4.6,2.2,3.0,0.6,0.7,1.1,0.768,0.536,0.375,0.8,3.7,0.1,12.6,1.8
104,202722,67,4.5,0.7,1.5,0.3,0.4,0.5,0.824,0.44,0.399,0.5,3.5,2.6,12.1,1.7
105,201599,81,12.7,1.2,13.8,0.6,1.7,1.4,0.482,0.714,0.0,5.2,7.1,0.0,31.7,5.6
106,202732,62,2.5,0.9,1.7,0.8,0.2,0.7,0.625,0.387,0.37,0.6,2.3,0.7,12.5,0.9
107,1627761,38,2.7,0.7,1.6,0.2,0.1,0.4,0.375,0.48,0.056,0.4,2.6,0.5,9.8,-1.2
108,201942,74,27.3,3.9,5.2,1.1,0.2,2.4,0.842,0.467,0.266,8.7,20.9,1.7,35.4,2.0
109,202326,72,27.0,4.6,11.0,1.4,1.3,3.7,0.772,0.452,0.361,9.3,19.9,5.0,34.2,-0.3
110,201960,72,8.9,1.0,3.8,1.1,0.4,0.8,0.761,0.4,0.341,1.6,7.6,4.4,26.1,1.6
111,1627749,38,3.4,1.3,1.1,0.2,0.2,1.0,0.7,0.431,0.391,0.8,3.1,0.6,8.5,0.0
112,1626153,27,5.6,2.1,1.8,1.0,0.4,0.9,0.764,0.422,0.333,2.0,4.3,1.1,16.5,3.3
113,1627743,5,2.0,0.6,0.8,0.0,0.0,0.0,0.5,0.75,1.0,1.2,0.8,0.2,3.4,0.2
114,203471,79,17.9,6.3,3.1,0.9,0.2,3.3,0.855,0.451,0.34,3.2,15.4,3.7,31.5,-1.0
115,1627756,57,5.1,1.1,2.6,0.5,0.1,0.9,0.778,0.354,0.351,0.3,5.1,3.6,17.1,-0.3
