,PlayerID,GP,PTS,AST,REB,STL,BLK,TOV,FT_PCT,FG_PCT,FG3_PCT,FTA,FGA,FG3M,MIN,PLUS_MINUS
42,203998,17,3.6,0.5,2.4,0.5,0.7,0.4,0.667,0.431,0.174,0.2,3.8,1.4,10.5,-1.4
43,1628981,26,4.0,1.0,2.9,0.2,0.3,0.9,0.667,0.532,0.25,1.0,3.0,0.6,11.5,-1.5
44,1627854,25,11.9,2.0,2.5,0.5,0.0,0.7,0.838,0.4,0.344,1.5,10.6,6.4,26.1,-5.6
45,1627741,26,21.9,2.9,5.1,0.8,0.3,2.6,0.855,0.437,0.376,2.1,18.5,10.4,34.4,0.2
46,203468,26,21.4,3.7,4.3,0.7,0.8,2.0,0.796,0.447,0.376,2.1,19.2,6.8,36.2,1.3
47,101139,10,6.4,1.2,1.2,1.0,0.4,0.4,0.75,0.322,0.314,2.0,5.9,3.5,16.1,-0.8
48,1628997,5,1.8,0.6,1.0,0.2,0.4,0.6,0.6,0.3,0.0,1.0,2.0,0.6,6.4,-0.6
49,1628403,5,0.6,0.0,1.0,0.2,0.4,0.8,0.5,0.5,0.0,0.4,0.4,0.0,2.6,1.0
50,1629629,24,8.5,1.5,4.0,0.9,0.4,1.9,0.725,0.324,0.265,2.1,9.0,4.1,25.3,-7.0
51,1629661,23,9.2,0.9,3.2,0.6,0.3,0.7,0.87,0.435,0.407,1.0,7.3,4.9,20.8,-1.3
52,1627747,9,16.8,4.0,5.0,0.7,0.1,3.4,0.645,0.421,0.361,3.4,15.6,4.0,31.6,0.8
53,2546,12,16.3,1.3,5.9,1.3,0.4,2.2,0.811,0.415,0.396,3.1,14.7,4.0,31.6,1.8
54,1629035,21,3.9,0.8,1.7,0.3,0.1,0.6,0.846,0.321,0.333,0.6,4.0,2.4,11.2,-0.7
55,1626224,26,9.2,2.2,3.3,1.0,0.3,1.3,0.656,0.411,0.36,1.2,8.2,4.4,28.9,-3.8
56,1628990,9,7.1,0.9,3.7,0.6,0.2,1.3,0.655,0.455,0.417,3.2,4.9,1.3,17.1,-2.1
57,202718,4,3.5,0.5,1.5,1.0,0.0,0.5,0.0,0.357,0.333,0.0,3.5,3.0,10.8,-7.3
